layer_name,weight_scale,weights_shape,weight_bits,weights_flat,bias_bits,bias_flat,classifier_shift
Layer_0,0.5833038091659546,"(4, 1, 3, 3)",4,"[0, 2, -2, -6, -1, -1, -4, 7, 1, 2, 0, -1, -2, 0, 1, 3, 1, 1, 6, 4, -1, -1, -3, -3, 0, 0, -5, 0, -7, -1, 1, 3, 2, -5, -1, 4]",8,"[4, -4, 3, 4]",
Layer_1,0.018430393189191818,"(9, 4, 3, 3)",8,"[-13, 11, -3, 1, -13, 12, -10, 16, 18, 22, 30, 8, 3, -23, -10, 30, 24, -11, 2, -19, 4, -19, -13, 11, 10, 28, 8, -12, -5, 6, -6, -23, -4, -15, -14, -19, 56, 42, 11, -106, -98, -58, 12, 79, 21, 31, 79, -48, -30, 5, 53, -109, 28, -16, -18, -45, 25, -12, 18, 89, 55, 22, 84, -4, -63, 31, 9, 3, -14, 86, -72, -35, 11, 48, 14, 31, 60, -7, 17, -127, -3, -40, 22, 22, 9, 73, 50, 3, -63, 18, 31, -101, 6, 23, -8, 2, 15, -36, 8, 21, 34, -8, 36, -43, 0, 1, -28, 22, -7, 7, -1, -11, 11, 15, 12, 0, -14, 6, -12, -15, -16, -33, 1, -14, -1, -23, -41, -11, 0, -13, 19, 14, 26, -36, 9, 21, 12, 3, 42, 4, 18, -5, -16, 0, 25, -16, -40, 4, -2, 32, -31, -17, 0, 15, -7, -7, 5, 17, 16, 41, -37, -3, 10, 21, 22, -4, -37, -6, -35, -3, -46, -17, 28, 6, 0, -3, 8, 2, -17, -12, 17, 3, -2, -15, -16, 20, -56, -17, -36, -10, 8, -16, 14, 6, -40, 15, -58, -41, 0, 26, 18, 18, 24, 51, -4, 5, 8, -14, -30, 0, -39, 51, 11, -14, 2, -4, -86, 56, -33, -39, 21, 33, -20, -14, 2, 50, 45, -34, -8, 40, -47, -35, -32, 9, -38, 30, 54, 7, 3, 14, -9, -63, -3, -69, -15, 31, 1, -13, -22, 12, -8, 42, -23, -18, 41, -34, -13, 14, 58, -46, 11, -9, -6, -39, -66, 18, 18, -90, 38, 19, -58, -51, -62, 37, -43, 103, 35, -30, -18, 107, 9, -38, -4, 53, -8, -34, -29, 69, -21, -29, -16, -24, -46, -9, 11, 18, -1, 8, 28, -27, -12, -11, -11, -5, -4, -14, -11, 2, -12, -18, 19, -6, 16, 2, -7, 17, -1, 12, -19, -8, -8, -20, -24, 2]",16,"[19, -27, 5, -31, 26, -22, 20, -32, 28]",
Layer_2,0.0035614175722002983,"(12, 9, 3, 3)",8,"[-4, 3, -4, -6, 7, 0, -4, 3, -5, 5, 6, 5, -1, 6, -1, -1, 12, 9, -4, 2, -2, 3, -1, 2, -1, 6, 0, -8, 18, 9, -3, 17, -1, -2, 19, 29, -2, 4, 3, 0, 2, -4, -4, 0, -6, -4, 0, -2, -1, 2, 2, -4, 1, 0, -15, 2, -4, -3, 5, -8, -1, 1, 0, -4, -3, 15, 4, -6, 12, 2, 5, 21, 2, -11, -4, 2, 1, 5, -1, -1, -9, 8, -7, -1, -8, -5, -12, -4, 6, -6, -20, -2, -17, -19, 4, 0, -1, -17, 15, -5, 15, -9, 22, -2, 9, 6, -17, 8, -13, -6, 2, -25, -18, -17, -7, -16, -18, 7, 4, -23, 16, 7, 20, 17, 20, -5, -18, -9, -10, 13, 8, -5, -14, 11, -12, 17, 22, 12, 12, 15, -2, 8, 16, 18, -24, 12, 8, 3, -14, 14, -3, -10, -18, 11, 10, 7, -2, 4, -30, 6, -3, 10, -2, -9, -7, -1, -38, 9, 78, 8, 17, 27, -41, 13, 1, 36, -79, -80, 2, -17, -45, -36, -86, -59, -9, 5, 10, -3, 8, -54, -58, -2, -17, -36, -49, 46, 31, 18, -49, 10, -10, -50, 23, 20, 29, 18, 12, -6, 49, 30, -8, -41, -6, -47, -17, -12, -94, -25, -4, -10, 7, 10, -27, -24, 52, 11, 0, 21, -11, -13, 1, -58, -36, -13, 1, -11, 7, 2, -7, -18, -3, 21, -1, -18, -17, -37, 5, 21, -21, -5, 13, 12, 2, -19, -26, -9, 22, -4, -2, 12, 1, -26, -1, -23, -36, 34, -14, -9, 23, -13, 6, 16, -1, 12, 19, 7, -6, -11, 3, 3, -9, 3, -19, -5, -22, -10, -29, -7, 17, 5, -4, 12, 0, 6, 22, -11, 5, -16, -3, -4, -2, 16, -9, -8, 30, 14, -9, 3, -12, -2, 42, 7, 14, 29, -16, 9, 13, 0, -3, -13, -1, 4, 2, -15, 50, -2, -18, -46, 30, -29, -37, 22, 7, 8, -29, -50, -20, -46, -35, 9, -75, 14, -8, -66, -22, -56, -42, 31, -37, 4, 9, -12, -36, 4, -33, 32, -11, 0, 25, -44, -20, -23, -21, -14, -40, 45, -23, 18, 74, 46, 82, -12, -31, 2, -38, 20, -14, -22, 87, 75, 2, 48, -57, 0, -2, -43, 11, -28, -5, -52, 31, -3, -13, 1, -31, -9, 44, 23, 6, -33, 70, -58, 32, -46, -13, -90, -92, -25, 62, 14, -11, -25, 46, -13, -36, -4, -36, 7, -61, 16, -17, -62, 6, -96, -23, 7, -14, 27, -127, -12, -31, -20, 12, -74, 13, 2, 27, -57, -58, 28, -14, -40, -55, -1, 46, 59, -75, -47, 47, 32, -27, -30, -29, -40, 13, 4, -25, -14, 10, -75, -32, -60, 17, 52, -9, 20, 25, 59, 21, -8, 3, -3, -49, -41, -39, 14, -13, -5, 50, -10, 46, -33, -16, 65, -21, -67, -41, -25, -14, -11, 15, -8, 5, 21, 6, -11, 11, -7, -40, 8, 5, -28, -29, -12, -12, 27, -28, 4, 20, -25, 27, -20, -30, -22, 17, 9, -35, -19, -4, -16, 24, -2, 19, -28, 5, -4, -10, 9, 3, -7, 7, -49, -7, 23, -20, 8, 4, -22, 8, -34, 0, 1, -31, 21, -8, -20, 1, 8, -18, -18, -35, -4, -29, 0, -4, -16, 3, 0, 36, 35, -12, 15, -19, -1, 8, 14, -3, -50, -41, 20, -5, 42, -15, -6, 21, 30, -3, -38, 36, -3, 10, -27, -45, -41, -1, 4, -37, -25, 10, -18, -15, -46, -34, 17, -25, -27, 26, 21, 24, -28, -15, 20, -57, 27, -7, -31, 33, -2, -26, 44, 30, 11, 23, -27, -28, -26, -20, -23, -11, -43, -12, 19, -51, -36, -2, 75, 30, 19, 0, 16, 9, -39, 4, -57, 37, -44, 40, -32, 7, 15, -37, 28, -14, 5, 5, 12, 10, -16, 6, 10, 23, 18, 5, 1, -17, 23, 16, 3, -5, -4, -37, -13, -5, 1, -19, -3, -37, -4, -40, 12, -25, -4, 5, -14, -50, -11, -43, -6, -16, 6, 18, -31, -23, 6, -21, 22, -37, 4, 2, -9, 3, 28, -11, -24, -11, -9, -19, -1, -12, -28, -33, -39, 12, 32, 3, 14, 22, 23, -49, 31, 5, 11, 16, -29, 7, 11, -36, -12, -1, -17, -4, 53, -14, 15, -24, 24, -14, -10, 16, 12, -1, -45, 35, -53, -28, 77, -20, -29, 3, 6, 13, -13, -11, -7, 19, -55, -34, -6, -13, 20, -8, -10, 59, 2, -21, 52, -10, -29, -23, -30, 20, 5, -55, 31, -36, 25, -33, -8, 70, -50, -1, -50, -17, -9, 40, -2, -68, 25, 23, -67, 0, -4, -21, -17, -12, 11, 24, 12, -24, 48, -49, 27, -26, 18, -3, -57, 30, -2, -59, 12, -32, 22, 3, 19, 7, -8, -7, -3, -24, 32, -28, -43, -24, 12, 41, -18, -32, 4, -23, -4, -14, -14, -5, -5, -25, -31, 3, -19, 1, 8, -7, 50, -4, -22, -22, 21, 54, -40, 5, 3, 11, -22, -10, -23, -19, 10, 33, 11, -38, 2, 29, -2, 14, -45, 32, -1, -21, -4, -12, -9, 16, -9, 8, 53, 23, -18, -17, 32, 34, 18, -9, -9, 19, 4, -5, 16, -42, -13, -23, -35, -33, -14, -35, 18, 24, 2, -2, -36, 0, 12, -7, -65, -20, 11, 5, -10, 8, 7, 35, 19, -12, 9, 32, -4, 16, -56, -32, -2, -21, -23, -35, -1, 21, -22, -20, -18, -11, -8, -40, 2, -18, -26, 12, -23, -39, -18, -17, 4, -1, 1, 25, 4, -41, -24, -15, 54, -28, 31, 2, 9, -8, -31, -33, -18, 22, -41, -31, -39, 42, 32, -64, 21, 43, 42, -32, -24, 5, 19, -3, -37, 7, -12, -1, -48, -43, 67, -22, 19, -33, 58, 66, -35]",16,"[-73, -216, -340, -129, -361, -389, -286, -251, -222, -347, -314, -317]",6.0
Layer_3,0.001972064608708024,"(4, 12, 1, 1)",8,"[-40, -76, 87, -37, -3, 67, -127, 3, -64, -67, 49, 36, 0, -29, -66, -87, 90, 41, 48, 36, 35, 50, 52, -3, 67, -95, -24, 20, -73, -21, -15, -110, 29, -12, -55, -85, -24, 19, -32, -47, 17, 47, -16, -3, -17, -3, 3, 1]",32,"[160, -247, 1250, -197]",
