TermBits,InChannels,ClassCount,WeightBits,DSPCount,LUT4,FF
1,7,2,2,0,172,28
1,7,3,2,0,254,28
1,7,4,2,0,326,28
1,7,5,2,0,409,28
1,7,6,2,0,478,28
1,7,7,2,0,563,28
1,7,8,2,0,635,28
1,7,9,2,0,718,28
1,7,10,2,0,788,28
1,7,11,2,0,867,28
1,7,12,2,0,937,28
1,7,13,2,0,1027,28
1,7,14,2,0,1097,28
1,7,15,2,0,1181,28
1,7,16,2,0,1252,28
1,7,17,2,0,1335,28
1,7,18,2,0,1404,28
1,7,19,2,0,1484,28
1,7,20,2,0,1554,28
1,7,21,2,0,1633,28
1,7,22,2,0,1704,28
1,7,23,2,0,1782,28
1,7,24,2,0,1853,28
1,7,25,2,0,1951,28
1,7,26,2,0,2020,28
1,7,27,2,0,2100,28
1,7,28,2,0,2170,28
1,7,29,2,0,2257,28
1,7,30,2,0,2327,28
1,7,31,2,0,2410,28
1,7,32,2,0,2481,28
1,8,1,2,0,104,31
1,8,2,2,0,196,31
1,8,3,2,0,289,31
1,8,4,2,0,372,31
1,8,5,2,0,466,31
1,8,6,2,0,546,31
1,8,7,2,0,642,31
1,8,8,2,0,725,31
1,8,9,2,0,819,31
1,8,10,2,0,900,31
1,8,11,2,0,990,31
1,8,12,2,0,1071,31
1,8,13,2,0,1172,31
1,8,14,2,0,1253,31
1,8,15,2,0,1348,31
1,8,16,2,0,1430,31
1,8,17,2,0,1524,31
1,8,18,2,0,1604,31
1,8,19,2,0,1695,31
1,8,20,2,0,1776,31
1,8,21,2,0,1866,31
1,8,22,2,0,1948,31
1,8,23,2,0,2037,31
1,8,24,2,0,2119,31
1,8,25,2,0,2228,31
1,8,26,2,0,2308,31
1,8,27,2,0,2399,31
1,8,28,2,0,2480,31
1,8,29,2,0,2578,31
1,8,30,2,0,2659,31
1,8,31,2,0,2753,31
1,8,32,2,0,2835,31
1,9,1,2,0,114,34
1,9,2,2,0,208,34
1,9,3,2,0,306,34
1,9,4,2,0,394,34
1,9,5,2,0,493,34
1,9,6,2,0,578,34
1,9,7,2,0,700,34
1,9,8,2,0,791,34
1,9,9,2,0,866,34
1,9,10,2,0,982,34
1,9,11,2,0,1080,34
1,9,12,2,0,1169,34
1,9,13,2,0,1278,34
1,9,14,2,0,1367,34
1,9,15,2,0,1470,34
1,9,16,2,0,1560,34
1,9,17,2,0,1662,34
1,9,18,2,0,1750,34
1,9,19,2,0,1849,34
1,9,20,2,0,1938,34
1,9,21,2,0,2036,34
1,9,22,2,0,2126,34
1,9,23,2,0,2223,34
1,9,24,2,0,2313,34
1,9,25,2,0,2430,34
1,9,26,2,0,2518,34
1,9,27,2,0,2617,34
1,9,28,2,0,2706,34
1,9,29,2,0,2812,34
1,9,30,2,0,2901,34
1,9,31,2,0,3003,34
1,9,32,2,0,3093,34
1,10,1,2,0,137,37
1,10,2,2,0,250,37
1,10,3,2,0,368,37
1,10,4,2,0,476,37
1,10,5,2,0,610,37
1,10,6,2,0,718,37
1,10,7,2,0,842,37
1,10,8,2,0,929,37
1,10,9,2,0,1075,37
1,10,10,2,0,1184,37
1,10,11,2,0,1302,37
1,10,12,2,0,1411,37
1,10,13,2,0,1540,37
1,10,14,2,0,1649,37
1,10,15,2,0,1772,37
1,10,16,2,0,1882,37
1,10,17,2,0,2004,37
1,10,18,2,0,2112,37
1,10,19,2,0,2231,37
1,10,20,2,0,2340,37
1,10,21,2,0,2458,37
1,10,22,2,0,2568,37
1,10,23,2,0,2685,37
1,10,24,2,0,2795,37
1,10,25,2,0,2932,37
1,10,26,2,0,3040,37
1,10,27,2,0,3159,37
1,10,28,2,0,3268,37
1,10,29,2,0,3394,37
1,10,30,2,0,3413,37
1,10,31,2,0,3625,37
1,10,32,2,0,3735,37
1,11,1,2,0,145,40
1,11,2,2,0,270,40
1,11,3,2,0,397,40
1,11,4,2,0,514,40
1,11,5,2,0,642,40
1,11,6,2,0,756,40
1,11,7,2,0,886,40
1,11,8,2,0,1003,40
1,11,9,2,0,1131,40
1,11,10,2,0,1246,40
1,11,11,2,0,1370,40
1,11,12,2,0,1485,40
1,11,13,2,0,1620,40
1,11,14,2,0,1735,40
1,11,15,2,0,1864,40
1,11,16,2,0,1980,40
1,11,17,2,0,2108,40
1,11,18,2,0,2222,40
1,11,19,2,0,2347,40
1,11,20,2,0,2462,40
1,11,21,2,0,2586,40
1,11,22,2,0,2702,40
1,11,23,2,0,2825,40
1,11,24,2,0,2941,40
1,11,25,2,0,3084,40
1,11,26,2,0,3198,40
1,11,27,2,0,3323,40
1,11,28,2,0,3438,40
1,11,29,2,0,3570,40
1,11,30,2,0,3685,40
1,11,31,2,0,3813,40
1,11,32,2,0,3929,40
1,12,1,2,0,157,43
1,12,2,2,0,294,43
1,12,3,2,0,432,43
1,12,4,2,0,560,43
1,12,5,2,0,699,43
1,12,6,2,0,824,43
1,12,7,2,0,965,43
1,12,8,2,0,1093,43
1,12,9,2,0,1232,43
1,12,10,2,0,1358,43
1,12,11,2,0,1493,43
1,12,12,2,0,1619,43
1,12,13,2,0,1765,43
1,12,14,2,0,1891,43
1,12,15,2,0,2031,43
1,12,16,2,0,2158,43
1,12,17,2,0,2297,43
1,12,18,2,0,2422,43
1,12,19,2,0,2558,43
1,12,20,2,0,2684,43
1,12,21,2,0,2819,43
1,12,22,2,0,2946,43
1,12,23,2,0,3080,43
1,12,24,2,0,3207,43
1,12,25,2,0,3361,43
1,12,26,2,0,3486,43
1,12,27,2,0,3622,43
1,12,28,2,0,3748,43
1,12,29,2,0,3891,43
1,12,30,2,0,4017,43
1,12,31,2,0,4156,43
1,12,32,2,0,4283,43
1,13,1,2,0,159,46
1,13,2,2,0,295,46
1,13,3,2,0,432,46
1,13,4,2,0,559,46
1,13,5,2,0,697,46
1,13,6,2,0,821,46
1,13,7,2,0,961,46
1,13,8,2,0,1088,46
1,13,9,2,0,1225,46
1,13,10,2,0,1350,46
1,13,11,2,0,1485,46
1,13,12,2,0,1610,46
1,13,13,2,0,1754,46
1,13,14,2,0,1879,46
1,13,15,2,0,2018,46
1,13,16,2,0,2144,46
1,13,17,2,0,2282,46
1,13,18,2,0,2406,46
1,13,19,2,0,2541,46
1,13,20,2,0,2666,46
1,13,21,2,0,2800,46
1,13,22,2,0,2926,46
1,13,23,2,0,3059,46
1,13,24,2,0,3185,46
1,13,25,2,0,3338,46
1,13,26,2,0,3462,46
1,13,27,2,0,3597,46
1,13,28,2,0,3722,46
1,13,29,2,0,3864,46
1,13,30,2,0,3989,46
1,13,31,2,0,4127,46
1,13,32,2,0,4253,46
1,14,1,2,0,184,49
1,14,2,2,0,343,49
1,14,3,2,0,503,49
1,14,4,2,0,653,49
1,14,5,2,0,814,49
1,14,6,2,0,961,49
1,14,7,2,0,1124,49
1,14,8,2,0,1274,49
1,14,9,2,0,1435,49
1,14,10,2,0,1583,49
1,14,11,2,0,1740,49
1,14,12,2,0,1888,49
1,14,13,2,0,2055,49
1,14,14,2,0,2203,49
1,14,15,2,0,2366,49
1,14,16,2,0,2515,49
1,14,17,2,0,2676,49
1,14,18,2,0,2823,49
1,14,19,2,0,2981,49
1,14,20,2,0,3129,49
1,14,21,2,0,3285,49
1,14,22,2,0,3434,49
1,14,23,2,0,3590,49
1,14,24,2,0,3739,49
1,14,25,2,0,3915,49
1,14,26,2,0,4063,49
1,14,27,2,0,4220,49
1,14,28,2,0,4368,49
1,14,29,2,0,4534,49
1,14,30,2,0,4682,49
1,14,31,2,0,4843,49
1,14,32,2,0,4992,49
1,15,1,2,0,195,52
1,15,2,2,0,363,52
1,15,3,2,0,532,52
1,15,4,2,0,691,52
1,15,5,2,0,861,52
1,15,6,2,0,1017,52
1,15,7,2,0,1189,52
1,15,8,2,0,1348,52
1,15,9,2,0,1518,52
1,15,10,2,0,1675,52
1,15,11,2,0,1841,52
1,15,12,2,0,1998,52
1,15,13,2,0,2175,52
1,15,14,2,0,2332,52
1,15,15,2,0,2503,52
1,15,16,2,0,2661,52
1,15,17,2,0,2831,52
1,15,18,2,0,2987,52
1,15,19,2,0,3154,52
1,15,20,2,0,3311,52
1,15,21,2,0,3477,52
1,15,22,2,0,3635,52
1,15,23,2,0,3800,52
1,15,24,2,0,3958,52
1,15,25,2,0,4142,52
1,15,26,2,0,4298,52
1,15,27,2,0,4466,52
1,15,28,2,0,4623,52
1,15,29,2,0,4797,52
1,15,30,2,0,4954,52
1,15,31,2,0,5124,52
1,15,32,2,0,5282,52
1,16,1,2,0,215,55
1,16,2,2,0,401,55
1,16,3,2,0,588,55
1,16,4,2,0,765,55
1,16,5,2,0,953,55
1,16,6,2,0,1127,55
