TermBits,Model,A,B,C,D,R2,DSPCount
1,LUT4,5.28738303456613,13.6873440889731,42.3542370137888,-164.370615437339,0.993756537916022,0
2,LUT4,8.48197401844198,24.3456893831175,104.061570170085,-309.481253174458,0.988649278793692,0
3,LUT4,12.3208114945501,14.0502329806897,-8.12759889443486,-10.3305974313103,0.995049383428759,0
4,LUT4,15.4565901664753,8.27937122021402,-50.0322026227594,93.7379209509951,0.993302573715874,0
5,LUT4,19.0294436955358,-0.183794160433703,-106.863322618759,229.438488381068,0.986607090238855,0
6,LUT4,22.0695884856235,0.564499634494372,-126.623400011813,268.740454283532,0.981744447381714,0
7,LUT4,24.7742873124451,0.839025608821221,-132.070894812906,265.657975495846,0.982049222696985,0
8,LUT4,27.5213511780213,0.563433023019686,-130.548903951435,251.193806936811,0.982234214669674,0
1,FF,0,3,0,6.99999999999999,1,0
2,FF,0,5.00000000000001,0,7,1,0
3,FF,0,6.99999999999999,0,6.99999999999999,1,0
4,FF,0,9,0,6.99999999999997,1,0
5,FF,0,11,0,7.00000000000006,1,0
6,FF,0,13,0,7.00000000000003,1,0
7,FF,0,15,0,7.00000000000002,1,0
8,FF,0,17,0,7.00000000000002,1,0
1,LUT4,0.271699988484818,-6.82591536619121,129.452708577459,49.3937079175289,0.884453068513443,1
1,LUT4,0.365812069515603,-11.3105071064057,200.043113026077,-58.8257186089435,0.858774207927124,2
1,LUT4,0.275794946747153,-8.58443822510992,215.55277679281,21.6021032874062,0.878742295106132,3
1,LUT4,0.0603241368101383,-4.24299969419784,321.125613308084,-148.922960046342,0.903196353683809,4
1,LUT4,0.516575940442372,-14.5036421409923,273.878855573873,56.6555525411437,0.87286601906681,5
1,LUT4,0.745620177047849,-29.326580235086,276.372201276443,124.644009267896,0.789182249475756,6
1,LUT4,0.119200637992142,9.61688793476822,565.476753278011,-940.278801705855,0.944563816552125,7
1,LUT4,0.0260807386591928,2.06765775966724,588.415197258436,-757.870713986788,0.858710884720508,8
2,LUT4,0.253371316281877,-2.797669933432,128.240123161992,45.5957455816795,0.841685424766177,1
2,LUT4,0.346623747125197,-4.96818933519546,218.968242124561,-97.7768652676112,0.84108322910341,2
2,LUT4,0.288636544802849,7.5878938071662,357.632348216474,-508.174584888179,0.87298695068701,3
2,LUT4,0.395297783932214,-1.21923235480039,315.390342749563,-298.13904095908,0.919276778174424,4
2,LUT4,0.364939191524598,-5.15103439667195,466.600501680763,-534.301593357044,0.844514332609098,5
2,LUT4,0.57665376152767,-25.0691237490852,565.784972493248,-674.925294198052,0.878759100284915,6
2,LUT4,1.06840096981602,-11.1713924209615,449.517842813915,-682.03980361689,0.95806757745099,7
2,LUT4,0.801655191963534,-19.1539953080039,575.491370258692,-807.963502664361,0.931417159042838,8
3,LUT4,0.0438976281916073,8.04958181023634,139.045724939449,50.9547784737921,0.821950827922064,1
3,LUT4,0.161304004972913,6.8975219108091,199.24300959604,-26.7394711417747,0.792522900207395,2
3,LUT4,0.402140384678118,6.0891222503563,240.733463505121,-100.223849075141,0.743553539733569,3
3,LUT4,0.376646992322739,3.15957097324914,281.928768421447,-122.023957990642,0.759844369220171,4
3,LUT4,1.30259261978267,-1.75505686786815,467.936089679785,-684.830269649967,0.840927349191854,5
3,LUT4,0.524075280435585,-2.84745492317137,421.57370167632,-321.576759841622,0.69660304177073,6
3,LUT4,1.20609019845596,3.88921998323292,341.84702862132,-385.110636387901,0.84092722494325,7
3,LUT4,0.673875643153499,-17.3400442172247,341.758238755897,128.478262834116,0.658787067528886,8
4,LUT4,0.226022580958897,8.80182847330092,140.778543471538,31.8073693379619,0.794664749842739,1
4,LUT4,0.74602372779064,4.46928663913785,193.391370154945,-52.2545744191288,0.891972123847615,2
4,LUT4,0.365858298328126,13.0224814870332,352.009314657415,-373.392503078805,0.717153444956488,3
4,LUT4,0.887860575340162,5.98797101437379,395.667592378544,-480.128250329415,0.976541027179333,4
4,LUT4,0.998499927292376,4.05986308920253,440.911702774211,-531.248114623853,0.879061207092732,5
4,LUT4,-2.33194040483803,41.1260613674686,929.620876157079,-1615.15115597099,0.994282631035295,6
4,LUT4,1.38760302952541,-2.96765705259308,581.977278115621,-901.488941849229,0.715460514973002,7
5,LUT4,0.346526604719402,10.041238885832,148.075880515735,25.7513903302572,0.723122947435902,1
5,LUT4,1.1083156944462,7.9783504155132,255.713154876786,-251.693921158249,0.664494296540394,2
5,LUT4,1.29153708531949,12.1269718839159,382.30766613127,-616.143768919135,0.768244282140479,3
5,LUT4,1.96350875387407,9.39643753264379,524.197606811962,-1038.91598117314,0.75801618635594,4
5,LUT4,-0.455852091131637,47.5256957318983,871.733149328643,-1939.55064636496,0.881945120433884,5
5,LUT4,2.31278448181437,-6.44514653337442,657.508844046528,-1250.46735362362,0.840880102975087,6
5,LUT4,0,17.7187499999999,371.323729610919,0,0.0864389504495083,7
5,LUT4,15.1544558756912,-384.470582525267,-462.533309097633,3119.12021448244,0.900331279550616,8
6,LUT4,0.239943922586382,16.9067981154902,162.975971971591,35.0062771223384,0.833872218098728,1
6,LUT4,0.831592959866039,16.5909362911393,229.362308261348,-142.490296585621,0.875577119121281,2
6,LUT4,0.766194378787711,14.3214511795551,354.77039036444,-284.470160328233,0.869567633885606,3
6,LUT4,1.34524230315658,12.8280397803882,393.58993150724,-443.18287811821,0.987532277463441,4
6,LUT4,1.50737263241581,7.62511252394184,340.335193510957,-158.922042460212,0.978868595887531,5
6,LUT4,1.38216222129197,8.57477859823551,448.376744837326,-446.603513244557,0.963059932705934,6
6,LUT4,-0.891561478615085,28.6340415741629,734.219245398546,-986.535257657673,0.802722506157512,7
7,LUT4,0.0876958495703977,19.8788965826077,159.092753506597,62.0715017194223,0.825561079492036,1
7,LUT4,0.325547729288744,25.4843041469088,282.322144013274,-218.660166275517,0.795224296471693,2
7,LUT4,1.51450390319869,14.0699943427928,340.310640355515,-325.951294023397,0.876300120858817,3
7,LUT4,1.0721448125862,16.0007916296705,364.043171931864,-330.66479770941,0.992416279812122,4
7,LUT4,0.487387392436924,12.0067960389602,247.311477042324,164.838489439192,0.620997152232997,5
7,LUT4,4.23915944700461,-45.0726193548389,666.297086709427,-843.577154313448,0.950031100975727,7
8,LUT4,0.336627068265303,20.4968174578442,160.376045795514,48.1701345808369,0.855936477630534,1
8,LUT4,1.34957116555822,16.9238352501987,267.781105052866,-215.05870010964,0.785856254676657,2
8,LUT4,1.15797820980277,21.6797780015491,360.367110744136,-332.728630526216,0.904787342608818,3
8,LUT4,1.99018711415258,15.8624344404262,544.032208945016,-802.601965617373,0.889213419957461,4
8,LUT4,1.32944084584651,24.8316999329101,527.445764820343,-669.943193696249,0.931960656152961,5
8,LUT4,3.62311727106872,34.3290746151138,388.158149230228,-506.874260109465,1,6
8,LUT4,6.48937620529942,-101.25659085847,493.664281619151,-388.817199153119,0.969957437532125,7
1,FF,3.26698299601658,8.83341430922535,20.1452188987631,51.9459464857582,0.89511560570785,-1
2,FF,5.04581001927518,9.53643601452412,20.2315521230818,42.7163559484953,0.913283400864518,-1
3,FF,6.20053785860881,7.8749130071424,21.2719967551249,75.2129132853206,0.851647269478075,-1
4,FF,8.93231881875286,10.7489638866428,21.1167179578167,50.324796859443,0.894948547671885,-1
5,FF,11.1656904672266,11.7023128238801,21.9308610534648,43.0081621582416,0.908777327567574,-1
6,FF,12.4111218014236,9.79891164309551,23.4037810629965,69.5406872125878,0.929552659141508,-1
7,FF,14.8216956815761,10.9618845437467,20.3723648283656,67.0057326718541,0.949848889086436,-1
8,FF,16.740890852019,12.1916819045715,24.0284076946965,62.8909227300812,0.935852688815337,-1
